Serial Number:,PSY1E10T
APP Serial #:,030003E2
Head Serial #:,1884
App Ver:,R1-6-2
COM Ver:,R2-5-0
Instrument Name:,PSY1E10T_1884 
Instrument Comment:,
Cooling Time:,10,seconds
Waiting Time:,6,seconds
Warming Duration:,0,seconds
Wait before measurement:,15,seconds
Chamber Heating Duration:,0,seconds
Chamber Heating Schedule:,continuous 
C1:,0.0270
C2:,0.3250
Date,Time,Chamber Temperature (°C),dT (µV),Wet Bulb Depression (µV),Corrected Water Potential (MPa),Intercept,Slope,EDBO,Correction for dT (MPa),Internal Battery Voltage (V),Internal Battery Temperature (°C),External Power Supply Present,External Power Supply Voltage (V),External Power Supply Current (mA),Diagnostic Comment
13/07/2021,21:20:00,15.07,-1.60,3.40,-1.50,0.17,-3.49,-0.29,-0.22,4.19,41.90 ,present ,12.74 ,205.50 ,
13/07/2021,21:30:00,15.03,-1.54,3.38,-1.49,0.17,-3.49,-0.29,-0.21,4.19,42.00 ,present ,12.77 ,204.60 ,
13/07/2021,21:40:01,14.98,-1.56,3.37,-1.49,0.17,-3.49,-0.25,-0.22,4.19,42.00 ,present ,12.76 ,204.00 ,
13/07/2021,21:50:00,14.92,-1.64,3.37,-1.51,0.17,-3.49,-0.34,-0.23,4.19,41.80 ,present ,12.76 ,203.70 ,
13/07/2021,22:00:00,14.87,-1.52,3.39,-1.50,0.17,-3.49,-0.37,-0.21,4.19,41.70 ,present ,12.75 ,202.80 ,
13/07/2021,22:10:00,14.84,-1.59,3.39,-1.51,0.17,-3.49,-0.28,-0.22,4.19,41.50 ,present ,12.74 ,201.60 ,
13/07/2021,22:20:00,14.78,-1.51,3.35,-1.49,0.17,-3.49,-0.40,-0.21,4.19,41.50 ,present ,12.74 ,201.60 ,
13/07/2021,22:30:00,14.74,-1.59,3.37,-1.51,0.17,-3.49,-0.25,-0.22,4.19,41.50 ,present ,12.74 ,200.70 ,
13/07/2021,22:40:01,14.68,-1.50,3.36,-1.49,0.17,-3.49,-0.29,-0.21,4.19,41.40 ,present ,12.77 ,200.40 ,
13/07/2021,22:50:00,14.65,-1.52,3.39,-1.51,0.17,-3.49,-0.32,-0.21,4.19,41.50 ,present ,12.77 ,200.10 ,
13/07/2021,23:00:00,14.61,-1.46,3.39,-1.50,0.17,-3.49,-0.33,-0.20,4.19,41.50 ,present ,12.76 ,199.50 ,
13/07/2021,23:10:00,14.57,-1.47,3.35,-1.49,0.17,-3.49,-0.29,-0.20,4.19,41.40 ,present ,12.76 ,199.50 ,
13/07/2021,23:20:00,14.54,-1.41,3.39,-1.50,0.17,-3.49,-0.32,-0.19,4.19,41.40 ,present ,12.75 ,198.60 ,
13/07/2021,23:30:00,14.53,-1.43,3.40,-1.51,0.17,-3.49,-0.35,-0.20,4.19,41.50 ,present ,12.75 ,198.60 ,
13/07/2021,23:40:00,14.51,-1.34,3.36,-1.48,0.17,-3.49,-0.40,-0.18,4.19,41.50 ,present ,12.71 ,198.00 ,
13/07/2021,23:50:01,14.48,-1.42,3.40,-1.51,0.17,-3.49,-0.25,-0.20,4.19,41.30 ,present ,12.75 ,198.00 ,
14/07/2021,00:00:01,14.47,-1.35,3.38,-1.49,0.17,-3.49,-0.33,-0.19,4.19,41.40 ,present ,12.75 ,197.70 ,
14/07/2021,00:10:01,14.44,-1.44,3.37,-1.50,0.17,-3.49,-0.36,-0.20,4.19,41.30 ,present ,12.74 ,197.40 ,
14/07/2021,00:20:01,14.41,-1.40,3.37,-1.50,0.17,-3.49,-0.29,-0.19,4.19,41.40 ,present ,12.74 ,197.10 ,
14/07/2021,00:30:01,14.38,-1.38,3.34,-1.48,0.17,-3.49,-0.33,-0.19,4.19,41.50 ,present ,12.74 ,196.20 ,
14/07/2021,00:40:01,14.35,-1.46,3.35,-1.50,0.17,-3.49,-0.32,-0.20,4.19,41.40 ,present ,12.74 ,196.20 ,
14/07/2021,00:50:01,14.33,-1.50,3.33,-1.50,0.17,-3.49,-0.32,-0.21,4.19,41.40 ,present ,12.74 ,196.50 ,
14/07/2021,01:00:01,14.28,-1.45,3.33,-1.50,0.17,-3.49,-0.43,-0.20,4.19,41.30 ,present ,12.76 ,195.00 ,
14/07/2021,01:10:01,14.25,-1.53,3.28,-1.49,0.17,-3.49,-0.25,-0.21,4.19,41.20 ,present ,12.76 ,194.70 ,
14/07/2021,01:20:01,14.20,-1.39,3.32,-1.49,0.17,-3.49,-0.25,-0.19,4.19,41.40 ,present ,12.76 ,194.40 ,
14/07/2021,01:30:01,14.19,-1.36,3.35,-1.50,0.17,-3.49,-0.24,-0.19,4.19,41.50 ,present ,12.76 ,194.70 ,
14/07/2021,01:40:01,14.18,-1.29,3.34,-1.48,0.17,-3.49,-0.26,-0.18,4.19,41.10 ,present ,12.75 ,193.80 ,
14/07/2021,01:50:01,14.16,-1.27,3.35,-1.49,0.17,-3.49,-0.28,-0.18,4.19,40.70 ,present ,12.75 ,193.80 ,
14/07/2021,02:00:01,14.15,-1.23,3.36,-1.48,0.17,-3.49,-0.23,-0.17,4.19,40.50 ,present ,12.75 ,193.50 ,
14/07/2021,02:10:01,14.13,-1.14,3.38,-1.48,0.17,-3.49,-0.30,-0.16,4.19,40.40 ,present ,12.75 ,192.90 ,
14/07/2021,02:20:01,14.14,-1.34,3.35,-1.50,0.17,-3.49,-0.22,-0.18,4.19,40.30 ,present ,12.75 ,193.50 ,
14/07/2021,02:30:01,14.12,-1.29,3.33,-1.48,0.17,-3.49,-0.32,-0.18,4.19,40.30 ,present ,12.75 ,193.20 ,
14/07/2021,02:40:01,14.09,-1.29,3.33,-1.48,0.17,-3.49,-0.24,-0.18,4.19,40.20 ,present ,12.74 ,192.30 ,
14/07/2021,02:50:01,14.09,-1.32,3.38,-1.51,0.17,-3.49,-0.23,-0.18,4.19,40.20 ,present ,12.75 ,192.90 ,
14/07/2021,03:00:01,14.08,-1.25,3.37,-1.49,0.17,-3.49,-0.25,-0.17,4.19,40.30 ,present ,12.73 ,191.10 ,
14/07/2021,03:10:01,14.05,-1.24,3.34,-1.48,0.17,-3.49,-0.27,-0.17,4.19,40.09 ,present ,12.77 ,191.10 ,
14/07/2021,03:20:01,14.06,-1.26,3.36,-1.49,0.17,-3.49,-0.29,-0.17,4.19,40.09 ,present ,12.76 ,190.50 ,
14/07/2021,03:30:01,14.05,-1.13,3.36,-1.47,0.17,-3.49,-0.26,-0.16,4.19,39.90 ,present ,12.76 ,190.80 ,
14/07/2021,03:40:01,14.05,-1.22,3.34,-1.48,0.17,-3.49,-0.21,-0.17,4.19,39.80 ,present ,12.73 ,190.80 ,
14/07/2021,03:50:00,14.04,-1.17,3.36,-1.48,0.17,-3.49,-0.23,-0.16,4.19,39.90 ,present ,12.73 ,191.40 ,
14/07/2021,04:00:00,14.03,-1.15,3.33,-1.47,0.17,-3.49,-0.20,-0.16,4.19,39.90 ,present ,12.73 ,190.50 ,
14/07/2021,04:10:00,14.03,-1.25,3.36,-1.50,0.17,-3.49,-0.28,-0.17,4.19,39.90 ,present ,12.76 ,189.90 ,
14/07/2021,04:20:00,14.03,-1.23,3.34,-1.48,0.17,-3.49,-0.26,-0.17,4.19,39.80 ,present ,12.76 ,189.90 ,
14/07/2021,04:30:00,14.03,-1.18,3.35,-1.48,0.17,-3.49,-0.27,-0.16,4.19,39.80 ,present ,12.72 ,189.90 ,
14/07/2021,04:40:00,14.03,-1.20,3.37,-1.49,0.17,-3.49,-0.25,-0.16,4.19,39.70 ,present ,12.75 ,189.60 ,
14/07/2021,04:50:00,14.04,-1.19,3.35,-1.48,0.17,-3.49,-0.41,-0.16,4.19,39.80 ,present ,12.76 ,189.90 ,
14/07/2021,05:00:00,14.04,-1.22,3.33,-1.48,0.17,-3.49,-0.32,-0.17,4.19,39.80 ,present ,12.75 ,189.00 ,
14/07/2021,05:10:00,14.02,-1.23,3.38,-1.50,0.17,-3.49,-0.23,-0.17,4.19,39.90 ,present ,12.74 ,187.50 ,
14/07/2021,05:20:00,14.03,-1.17,3.36,-1.48,0.17,-3.49,-0.26,-0.16,4.19,39.70 ,present ,12.74 ,187.80 ,
14/07/2021,05:30:00,14.03,-1.14,3.38,-1.48,0.17,-3.49,-0.35,-0.16,4.19,39.59 ,present ,12.74 ,187.80 ,
14/07/2021,05:40:00,14.02,-1.25,3.35,-1.49,0.17,-3.49,-0.25,-0.17,4.19,39.40 ,present ,12.74 ,187.20 ,
14/07/2021,05:50:00,14.02,-1.26,3.35,-1.49,0.17,-3.49,-0.20,-0.17,4.19,39.50 ,present ,12.73 ,186.90 ,
14/07/2021,06:00:00,14.02,-1.13,3.34,-1.47,0.17,-3.49,-0.21,-0.15,4.19,39.59 ,present ,12.73 ,186.90 ,
14/07/2021,06:10:00,14.06,-1.16,3.39,-1.49,0.17,-3.49,-0.30,-0.16,4.19,39.90 ,present ,12.74 ,187.80 ,
14/07/2021,06:20:01,14.07,-1.19,3.41,-1.50,0.17,-3.49,-0.29,-0.16,4.19,39.80 ,present ,12.73 ,186.60 ,
14/07/2021,06:30:01,14.09,-1.09,3.41,-1.49,0.17,-3.49,-0.39,-0.15,4.19,39.70 ,present ,12.74 ,187.20 ,
14/07/2021,06:40:01,14.09,-1.18,3.44,-1.51,0.17,-3.49,-0.30,-0.16,4.19,39.59 ,present ,12.73 ,186.90 ,
14/07/2021,06:50:01,14.12,-0.98,3.40,-1.47,0.17,-3.49,-0.33,-0.13,4.19,39.70 ,present ,12.73 ,186.60 ,
14/07/2021,07:00:01,14.15,-0.97,3.47,-1.49,0.17,-3.49,-0.22,-0.13,4.19,39.80 ,present ,12.74 ,187.20 ,
14/07/2021,07:10:01,14.20,-1.00,3.47,-1.50,0.17,-3.49,-0.26,-0.14,4.19,39.80 ,present ,12.76 ,186.00 ,
14/07/2021,07:20:01,14.23,-0.96,3.47,-1.49,0.17,-3.49,-0.24,-0.13,4.19,39.80 ,present ,12.73 ,186.90 ,
14/07/2021,07:30:01,14.25,-0.99,3.44,-1.48,0.17,-3.49,-0.23,-0.14,4.19,39.80 ,present ,12.73 ,186.90 ,
14/07/2021,07:40:01,14.29,-0.93,3.50,-1.49,0.17,-3.49,-0.18,-0.13,4.19,39.80 ,present ,12.74 ,187.20 ,
